observation_date,GDP_log,XTIMVA01USM664S_log,XTEXVA01USM664S_log,GPDI_log,RPI_log,INDPRO_log,BUSLOANS_log,NONREVSL_log,UNRATE_diff,DFF_diff,GS1_diff,AAA_diff,IRLTLT01USM156N_diff,M1V,CUMFNS,CLF16OV,B235RC1Q027SBEA,ROWFDIQ027S,CPILFESL_inflation,PCEPI_inflation
1962-10-01,-1.7849139218186691,-1.9067425442094845,-1.8794081839971664,-1.861387011535344,-1.7988004687274346,-2.0145172878540736,-1.8175666940553008,-1.7304424909188114,-0.13380420992192266,0.07462375044083962,-0.25443302475069673,-0.21943786796812995,-0.19003013462653265,-1.0753367894091392,0.4746366074576563,-1.6928183313210532,-0.9111278919107251,-0.749605738094725,-1.0939358204054346,-0.7922546523509802
1963-01-01,-1.7720837036387551,-1.9113862300570208,-1.8775411438000107,-1.8210456763357585,-1.7838709520795424,-1.9729930397279616,-1.8107734214069553,-1.7092953329018263,0.42075781674243284,0.05160769830248186,0.04317451585795469,-0.16546744858225884,-0.01709265761190982,-1.0658885707202312,0.612771356574201,-1.6800419791375838,-0.9120022937440135,-0.7514533086406805,-1.0897049191584744,-0.8232874343072246
1963-04-01,-1.761199948727237,-1.887144176686394,-1.803492230216661,-1.8048475590005786,-1.7690487888147688,-1.9139722893314368,-1.7888193852664465,-1.6863956140302323,-0.13380420992192266,-0.017440458112593427,0.1565488170422036,0.05041422896121837,0.15584481940271105,-1.0583299957691046,0.9103968804745523,-1.6658137687514474,-0.9107781311774095,-0.7498696767441473,-0.766984034310401,-1.0308198901700947
1963-07-01,-1.7417629248944613,-1.8658220357314717,-1.7983682024552614,-1.7809641230246473,-1.7519361436247498,-1.898892043646706,-1.740687841028143,-1.6620964423803994,-0.27244471658801245,0.41986453251621353,0.5533588711870713,0.1853402774258949,0.15584481940271203,-1.032819805309052,0.864399286729678,-1.6580705250038903,-0.9104283704440942,-0.750318372448165,-0.7648358669238835,-0.5115286574021368
1963-10-01,-1.729436977240121,-1.86601162007365,-1.7696938244285865,-1.7607288548211235,-1.7251333690329043,-1.8608820452992072,-1.6761681915649498,-1.637096635199008,0.14347680341025446,0.13216388078673552,0.28409490587448255,0.10438464834708946,0.19907918865636653,-1.0228991756856982,0.9956992963876601,-1.6471654567260805,-0.9100786097107788,-0.7553596006521294,-0.612090314032781,-0.7006284160690416
1964-01-01,-1.7092097056260558,-1.8667569992977031,-1.7417139342071521,-1.7356282110269707,-1.7005150692042843,-1.8300554826044948,-1.6221923226706136,-1.609706377164422,-0.13380420992192266,0.005575594025764833,0.14237702939417224,0.13136985804002382,0.13422763477588284,-0.9869959446678469,1.054899903151893,-1.6378735642290119,-0.9104283704440942,-0.751031006801605,-0.6114363600165593,-0.5277321207154204
1964-04-01,-1.6981443896973916,-1.8424037375723397,-1.7370841977699902,-1.735297097250511,-1.6723494287524823,-1.7774491255132896,-1.5729875147046162,-1.5852411137755889,-0.411085223254101,0.028591646164123602,0.04317451585795469,0.0773994386541551,0.04775889626857386,-0.9742408494378206,1.2676691959109128,-1.6169022790793777,-0.9081549256775441,-0.7503447663131072,-1.2600252542743486,-0.9376724603097811
1964-07-01,-1.6817179095422712,-1.8249939447543184,-1.7140195267816531,-1.7195493421174868,-1.64607274444457,-1.7414057527056461,-1.5451989923246212,-1.561861068491082,-0.27244471658801245,-0.04045651025095169,-0.12688693591841707,-0.0035561904246503378,-0.01709265761190982,-0.9676270963555846,1.37156940435667,-1.6199995765784005,-0.905881480910994,-0.751875610479756,-1.0968501260146792,-0.7646072839202331
1964-10-01,-1.6753021553639564,-1.8034740826665745,-1.6851894441600108,-1.7023568972590728,-1.6232345149648724,-1.7073133748010605,-1.5318345286344055,-1.5416076558128786,0.004836296744165894,0.13216388078673552,0.22740775528235843,0.05041422896121837,-0.03870984223873899,-0.978492547847829,1.4597923024123112,-1.613062920721214,-0.902908514677813,-0.7513477331809116,-0.618109582110615,-0.7566441649358333
1965-01-01,-1.6509158897630336,-1.8318612220378525,-1.8124785533740582,-1.6227131355313,-1.5932433867439775,-1.6232495270525122,-1.4828621664219417,-1.5138372541429146,-0.13380420992192266,0.45438861072375064,0.11403345409810955,-0.03054140011758469,0.06937608089540111,-0.9340859200099603,1.9412662334102204,-1.5988992373663071,-0.9022089932111822,-0.748523589632094,-0.7843880504505267,-0.7583568991370327
